"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","DEB","Rhineland-Palatinate","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.21,"B","Break"
"2","Large regions (TL2)","DEC","Saarland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,81.35,"B","Break"
"2","Large regions (TL2)","DED","Saxony","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.17,"B","Break"
"2","Large regions (TL2)","DEE","Saxony-Anhalt","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,79.34,"B","Break"
"2","Large regions (TL2)","DEF","Schleswig-Holstein","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.44,"B","Break"
"2","Large regions (TL2)","DEG","Thuringia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,86.36,"B","Break"
"1","Country","GRC","Greece","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,84.98,,
"1","Country","HUN","Hungary","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.78,,
"2","Large regions (TL2)","HU21","Central Transdanubia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.1,,
"2","Large regions (TL2)","HU22","Western Transdanubia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.89,,
"2","Large regions (TL2)","HU23","Southern Transdanubia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,89.03,,
"2","Large regions (TL2)","HU31","Northern Hungary","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,86.26,,
"2","Large regions (TL2)","HU32","Northern Great Plain","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,88.04,,
"2","Large regions (TL2)","HU33","Southern Great Plain","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,86.72,,
"1","Country","ISL","Iceland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,94.9,,
"1","Country","IRL","Ireland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,93.35,"B","Break"
"1","Country","NLD","Netherlands","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.56,,
"2","Large regions (TL2)","NL11","Groningen","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.58,,
"2","Large regions (TL2)","NL12","Friesland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,96.91,,
